Stock,Date,Party,Category,Txntype,Quantity,Value traded,Avgtradeprice
HCL Technologies Ltd,9/13/2021,ANUP DUTTA,Insider - Designated Person,Sell,40,48432.0,1210.8
ITC Ltd,3/22/2019,V.V. SUBRAMANYAM,Insider - Employee,Sell,180,53982.0,299.9
ITC Ltd,11/8/2017,MANISH MODI,Insider - Employee,Sell,180,47781.0,265.45
Infibeam Avenues Ltd,8/2/2017,Parag J Raval,Insider - Other,Sell,8,11752.0,1469.0
Housing Development Finance Corporation Ltd,5/4/2018,HARSHIL NAYAN PARIKH,Insider - Employee,Sell,25,47750.0,1910.0
Housing Development Finance Corporation Ltd,8/27/2018,ASHISH KUMAR MAHESHWARI,Insider - Employee,Sell,25,48250.0,1930.0
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,25,47838.0,1913.52
Housing Development Finance Corporation Ltd,11/16/2018,ADITI DONGARE,Insider - Employee,Sell,25,46545.0,1861.8
Housing Development Finance Corporation Ltd,11/26/2018,BHAVIK DILIPBHAI DAXINI,Insider - Employee,Sell,25,47200.0,1888.0
Housing Development Finance Corporation Ltd,11/19/2018,SOOD PANKAJ,Insider - Employee,Sell,25,47550.0,1902.0
Housing Development Finance Corporation Ltd,11/29/2018,MANSI TARUSH GORADIA,Insider - Employee,Sell,25,48750.0,1950.0
Housing Development Finance Corporation Ltd,12/19/2018,MANSI TARUSH GORADIA,Insider - Employee,Sell,25,49375.0,1975.0
